iter	RMSE
0	0.4425025681
1	0.4371510419
2	0.4315216388
3	0.4241771968
4	0.4189221254
5	0.4129295103
6	0.4091114888
7	0.4034836499
8	0.3990736515
9	0.3933835081
10	0.3882732953
11	0.3839485652
12	0.3792585435
13	0.3739748715
14	0.3698655818
15	0.3651779728
16	0.3622078586
17	0.3575350074
18	0.3532261612
19	0.3469124707
20	0.3432558528
21	0.3397228756
22	0.3359849619
23	0.3315867803
24	0.3281108287
25	0.3245684589
26	0.3210769995
27	0.3182944213
28	0.3152356985
29	0.3123345143
30	0.3090606794
31	0.3053827892
32	0.3022378608
33	0.2991785539
34	0.2972414744
35	0.2944952805
36	0.2908388866
37	0.2884098141
38	0.2850850722
39	0.2833998688
40	0.2812037331
41	0.2781105471
42	0.2739926275
43	0.2701309668
44	0.2679960119
45	0.265471974
46	0.2639837687
47	0.261324093
48	0.2588628493
49	0.2556375424
50	0.2527683696
51	0.2503512278
52	0.2470940137
53	0.244704158
54	0.2420300027
55	0.2402152993
56	0.2380227591
57	0.2356144805
58	0.2336749588
59	0.2312278644
60	0.2290715581
61	0.2269684429
62	0.2252311906
63	0.2240454724
64	0.2214666792
65	0.2190981672
66	0.2174827203
67	0.2157073996
68	0.2138189536
69	0.2114522763
70	0.2096897581
71	0.2077172962
72	0.2047818738
73	0.2033402708
74	0.2017888553
75	0.2003427931
76	0.1992104854
77	0.1973116891
78	0.1951441871
79	0.1929087176
80	0.1906276831
81	0.1882339575
82	0.1859553841
83	0.183581203
84	0.1820958684
85	0.180675579
86	0.1787001297
87	0.1771090566
88	0.1752207482
89	0.1727303762
90	0.170676746
91	0.1691254658
92	0.166954132
93	0.1657894359
94	0.1643244721
95	0.1623737712
96	0.1612470405
97	0.1594050854
98	0.158504372
99	0.1572148574
100	0.1562206317
101	0.1553796776
102	0.1540517141
103	0.1532558119
104	0.1524589346
105	0.1514050491
106	0.1501076159
107	0.1488287363
108	0.1472100354
109	0.1462831945
110	0.1454269802
111	0.1441355316
112	0.1430884808
113	0.141509603
114	0.140411485
115	0.1391556938
116	0.1378549751
117	0.1366157583
118	0.1357592816
119	0.1344163284
120	0.1334907146
121	0.132299642
122	0.1311940617
123	0.1298847282
124	0.1289577477
125	0.1281022538
126	0.1270846645
127	0.1260943263
128	0.1249517782
129	0.1240477573
130	0.1228295998
131	0.12210615
132	0.121107961
133	0.1199505838
134	0.1188901474
135	0.1179580018
136	0.1167732776
137	0.1158750798
138	0.1147543154
139	0.1140256818
140	0.1132647749
141	0.1125194193
142	0.1114759927
143	0.110558195
144	0.1096097602
145	0.1086739073
146	0.1075115606
147	0.106423726
148	0.1054700008
149	0.1044078136
150	0.1038920698
151	0.1024857537
152	0.1013569393
153	0.1003061967
154	0.09930859555
155	0.0984317196
156	0.09785587648
157	0.09691655576
158	0.09594760618
159	0.09511764079
160	0.09418744953
161	0.09343626587
162	0.09283034467
163	0.09219401935
164	0.09126086846
165	0.0904202037
166	0.0897481235
167	0.08899580663
168	0.08851902382
169	0.0876284042
170	0.08712675848
171	0.08629019993
172	0.08524483719
173	0.08441246609
174	0.08346584693
175	0.08258069996
176	0.08202279806
177	0.0815026016
178	0.08045244816
179	0.07987488225
180	0.07925949
181	0.07830190747
182	0.07762903248
183	0.07705247939
184	0.0764401267
185	0.07559174206
186	0.07510649311
187	0.07445201004
188	0.07380354847
189	0.07299155505
190	0.07238400869
191	0.07175334891
192	0.07091729572
193	0.07025701631
194	0.07010784767
195	0.06946865375
196	0.06890536129
197	0.0685218546
198	0.06779903385
199	0.06747874025
200	0.06672552778
201	0.06626056396
202	0.0657822158
203	0.0652477191
204	0.06479307514
205	0.0643040146
206	0.06391549946
207	0.06329145415
208	0.06279031596
209	0.0622842807
210	0.06161313231
211	0.06078252005
212	0.06016184541
213	0.05956819714
214	0.0589809137
215	0.05856472602
216	0.05814232006
217	0.05779785008
218	0.057539249
219	0.057249359
220	0.05688207923
221	0.05669914855
222	0.05609628985
223	0.05571416849
224	0.05533724455
225	0.05490129495
226	0.05436621826
227	0.05403690136
228	0.05354884108
229	0.05320179021
230	0.05281649261
231	0.05240557538
232	0.05203159205
233	0.05149221652
234	0.05130967093
235	0.05091848878
236	0.05053629265
237	0.05014793105
238	0.04966008313
239	0.04928698491
240	0.04895831035
241	0.04864069504
242	0.04820742602
243	0.0476879128
244	0.04739422411
245	0.04697201428
246	0.04673424278
247	0.04633529669
248	0.04578665117
249	0.04550303232
250	0.04508881552
251	0.04472659072
252	0.04445722866
253	0.04402030808
254	0.04377804636
255	0.04344368603
256	0.04311239048
257	0.04271998975
258	0.04224640062
259	0.04196666127
260	0.04175175808
261	0.04142328896
262	0.04118888181
263	0.04086536271
264	0.04054753828
265	0.04022505494
266	0.03979899883
267	0.03956882401
268	0.03926648348
269	0.03908298419
270	0.03877527877
271	0.03850390548
272	0.03834973141
273	0.03806016504
274	0.03781205574
275	0.03742033135
276	0.03722477799
277	0.03688999068
278	0.03664793753
279	0.03628831267
280	0.03607274025
281	0.03582947834
282	0.03566923849
283	0.03538254046
284	0.03514387659
285	0.03491784003
286	0.03480568605
287	0.03477450262
288	0.0345493172
289	0.0344840062
290	0.03422942738
291	0.03419626195
292	0.03399746085
293	0.03391162235
294	0.03374514152
295	0.03345013581
296	0.03322772507
297	0.03295939194
298	0.03270875903
299	0.03261877174
300	0.0323125267
301	0.03228628721
302	0.03205824013
303	0.03188501713
304	0.03176442764
305	0.03151739269
306	0.03143913829
307	0.0313135955
308	0.0311591504
309	0.03091624596
310	0.03070093516
311	0.03050038152
312	0.03029022623
313	0.03009927508
314	0.02989869028
315	0.02971459632
316	0.02951992332
317	0.02928839492
318	0.02915556496
319	0.02887267093
320	0.02869956269
321	0.02854298984
322	0.02831853447
323	0.02810002527
324	0.02793575229
325	0.02776946732
326	0.02766325159
327	0.02748217532
328	0.02735532738
329	0.02727783457
330	0.02710832836
331	0.02696239583
332	0.0267337543
333	0.02651372201
334	0.02637853253
335	0.02623038866
336	0.02600606025
337	0.0259079613
338	0.02575811805
339	0.02557220636
340	0.02542861286
341	0.02528188274
342	0.02507822882
343	0.02493859583
344	0.02482034533
345	0.02461318955
346	0.02443423965
347	0.02421210406
348	0.02409385099
349	0.02397683974
350	0.02385119234
351	0.02365096903
352	0.02349255566
353	0.02329095598
354	0.02312070842
355	0.02302611142
356	0.02286140083
357	0.02276589249
358	0.02258955712
359	0.02251271687
360	0.02239255039
361	0.02228117332
362	0.0221287284
363	0.02201229475
364	0.02188348268
365	0.0217193417
366	0.02161421952
367	0.02146685837
368	0.02139543285
369	0.0212466484
370	0.02115158529
371	0.02108216003
372	0.02091977343
373	0.02078133955
374	0.02061566824
375	0.0204569463
376	0.02036891801
377	0.02022027544
378	0.02012649376
379	0.01998979049
380	0.0198185753
381	0.01971426564
382	0.01959852074
383	0.01953404549
384	0.01946227966
385	0.01931044406
386	0.01928851023
387	0.01914018992
388	0.01906944026
389	0.01894675567
390	0.01883272268
391	0.01877194388
392	0.01869551078
393	0.01856836275
394	0.01839398336
395	0.01831991246
396	0.01817790079
397	0.01804162153
398	0.01791274405
399	0.01784262234
400	0.0177379866
401	0.01772061115
402	0.0175661679
403	0.01743508849
404	0.01730811418
405	0.01718266975
406	0.01713118603
407	0.01704605512
408	0.01699628428
409	0.01690531633
410	0.01677732917
411	0.01666862223
412	0.01657327348
413	0.01642984059
414	0.0163064757
415	0.01624411423
416	0.01609805117
417	0.01603971004
418	0.01594384429
419	0.01590357606
420	0.0158675778
421	0.0158123875
422	0.01570626694
423	0.01560721144
424	0.01553810527
425	0.01543465491
426	0.01537303117
427	0.01530136701
428	0.01521956059
429	0.0151639112
430	0.01512241235
431	0.01503644268
432	0.01500215276
433	0.01493116102
434	0.01488091443
435	0.01478660295
436	0.0146785088
437	0.01463808625
438	0.01459098879
439	0.01450269514
440	0.01445254082
441	0.01435622172
442	0.01433908022
443	0.01426284329
444	0.01418682071
445	0.01411263468
446	0.01409954017
447	0.01405333504
448	0.01404041214
449	0.01398106347
450	0.01396776326
451	0.01387073532
452	0.01377007466
453	0.01368643655
454	0.01362931841
455	0.01358686628
456	0.01355087781
457	0.0134694178
458	0.01336389043
459	0.01329017301
